Name,MainAirline,RewardsID,Age,Gender,Race,HomeAirport
Lois Jiles,SW,SW52371,39,F,Native American/Alaska Native,DTW
Audrey Pedraza,DL,DL66707,37,F,Hispanic/Latino,PHX
Lauren Lewis,HA,HA83988,72,F,Native Hawaiian/Pacific Islander,JFK
Jesus Youngblood,AS,AS90201,24,M,Native Hawaiian/Pacific Islander,ORD
Sparkle Bickel,UA,UA89328,49,F,Native American/Alaska Native,TPA
Jesus Kite,AS,AS94615,68,M,Hispanic/Latino,JFK
Travis Hansen,SW,SW18666,61,M,Hispanic/Latino,FLL
James Clark,AA,AA62130,52,M,Black/African American,PHX
Melvin Maynes,DL,DL33118,72,M,Hispanic/Latino,DEN
Gayle Coburn,AA,AA64263,73,F,Native Hawaiian/Pacific Islander,DEN
Alberta Mathews,AS,AS67076,83,F,White,SLC
Anthony Doyle,HA,HA77257,63,M,White,MSP
Helen Sparks,SW,SW90610,34,F,Black/African American,ATL
Cheryl Williams,SW,SW26182,67,F,Native Hawaiian/Pacific Islander,BNA
Bernice Beggs,UA,UA39279,37,F,Native American/Alaska Native,DEN
Kyle Witt,AA,AA23244,48,M,Native Hawaiian/Pacific Islander,BNA
James Jackson,HA,HA44963,74,M,White,CLT
Daniel Huston,SW,SW47890,74,M,Hispanic/Latino,ATL
Thomas Lee,SW,SW60348,37,M,Asian,LAS
Latrice Duskey,HA,HA67239,34,F,Hispanic/Latino,SFO
John Bass,AA,AA94571,35,M,Native Hawaiian/Pacific Islander,DEN
Rodney Dolby,UA,UA72736,49,M,Hispanic/Latino,BWI
Ricky Rowley,AS,AS13515,53,M,Native Hawaiian/Pacific Islander,SAN
Marla Fisher,DL,DL12343,56,F,Native Hawaiian/Pacific Islander,ATL
Thomas Dill,AA,AA22570,31,M,Hispanic/Latino,SFO
Eugene Strubbe,UA,UA79971,70,M,Native American/Alaska Native,DEN
Christopher Sutton,DL,DL55019,51,M,Black/African American,PHX
Alisa Krier,AS,AS69859,23,F,Hispanic/Latino,MSP
Bryon Miraglia,UA,UA13312,76,M,Native Hawaiian/Pacific Islander,TPA
Edith Davies,AA,AA19727,71,F,Black/African American,LAX
John Rutherford,AA,AA54102,81,M,Hispanic/Latino,BOS
Mitch Zuniga,HA,HA89957,72,M,Hispanic/Latino,PHX
Chad Saldana,HA,HA65512,50,M,Asian,IAH
Susan Patton,SW,SW10770,24,F,Native American/Alaska Native,LAX
Alma Allen,DL,DL45577,41,F,White,ORD
Dana Adams,AS,AS48537,83,M,Native Hawaiian/Pacific Islander,CLT
Albert Stewart,HA,HA52680,81,M,Asian,EWR
John Robison,UA,UA48136,76,M,Black/African American,MSP
Nick Sargent,SW,SW76174,68,M,Native American/Alaska Native,PHL
Harland Waltz,AS,AS71655,60,M,Asian,TPA
Ted Rodriguez,DL,DL34260,70,M,Asian,IAD
Fred William,UA,UA90799,52,M,Native Hawaiian/Pacific Islander,BWI
Daryl Poremski,AA,AA96006,38,M,Hispanic/Latino,MIA
Lisa Fallenstein,DL,DL32043,52,F,Native American/Alaska Native,LAX
Stephen Turner,SW,SW62711,79,M,Asian,CLT
Courtney Brokaw,AA,AA47495,57,F,Native American/Alaska Native,SEA
Kay Pearson,DL,DL61016,43,F,Hispanic/Latino,DFW
Sam Houchens,AS,AS70698,41,M,Native American/Alaska Native,BWI
Marcia Hartman,HA,HA64526,59,F,Native American/Alaska Native,EWR
Ronald Marlin,DL,DL19961,70,M,White,EWR
Carrie Vela,HA,HA26698,47,F,White,TPA
William Steiner,AS,AS51399,33,M,Native American/Alaska Native,LAX
Rosario Wilde,UA,UA17902,44,F,Native Hawaiian/Pacific Islander,BWI
Barbara Mclellan,UA,UA62649,40,F,Black/African American,MIA
Nellie Barker,AS,AS47288,34,F,Black/African American,BNA
Rima Ross,HA,HA72159,56,F,Asian,ATL
Pauline Baumann,AS,AS29908,72,F,White,FLL
John Boyd,SW,SW62802,60,M,Native American/Alaska Native,LAS
Joseph Walraven,AA,AA35476,49,M,Native American/Alaska Native,JFK
Clarence Bradley,UA,UA38634,49,M,Native Hawaiian/Pacific Islander,SLC
James Haugen,DL,DL38482,51,M,Native American/Alaska Native,DFW
Anthony Hall,SW,SW51644,34,M,Native American/Alaska Native,BWI
Raul Skinner,AS,AS67474,40,M,Native Hawaiian/Pacific Islander,EWR
Doris Kuss,DL,DL96385,48,F,Hispanic/Latino,MIA
Martha Yoshioka,HA,HA99091,36,F,White,IAH
Timothy Smoot,HA,HA14775,38,M,Asian,FLL
Peggy Johnson,UA,UA77198,24,F,White,SLC
Candace Riedel,DL,DL18703,63,F,Native American/Alaska Native,MIA
Chad Cross,DL,DL84857,77,M,Native Hawaiian/Pacific Islander,SLC
Tracey Freeman,AS,AS93258,81,F,Black/African American,IAH
Michael Richardson,SW,SW92750,50,M,Native Hawaiian/Pacific Islander,MIA
Josephine Tijerina,AA,AA36125,62,F,Native Hawaiian/Pacific Islander,ATL
Linda Hench,SW,SW46049,26,F,Native Hawaiian/Pacific Islander,MIA
Michelle Smith,DL,DL25087,61,F,Native American/Alaska Native,SAN
Andrea Haught,AS,AS86512,70,F,White,CLT
Bruce Wilson,UA,UA30472,31,M,Native Hawaiian/Pacific Islander,BNA
Fred Johnson,SW,SW34458,58,M,Hispanic/Latino,SEA
Dwayne Mosher,AS,AS57130,76,M,White,ORD
Clarence Cerezo,DL,DL77943,47,M,Native American/Alaska Native,LAX
Pennie Fowler,AA,AA65867,39,F,Native Hawaiian/Pacific Islander,BWI
Jasper Rivera,HA,HA44027,41,M,Native Hawaiian/Pacific Islander,LAS
Bruce Harris,UA,UA46040,27,M,White,IAD
Kayla Anderson,AA,AA95425,83,F,Hispanic/Latino,SFO
Warren Santiago,DL,DL73265,79,M,White,SLC
Andrea Burton,UA,UA48017,30,F,Native American/Alaska Native,DFW
Sonia Glover,UA,UA29751,59,F,Native American/Alaska Native,BOS
Frank Hendrix,SW,SW60404,59,M,Black/African American,PHL
Roland Suggs,UA,UA91715,24,M,Asian,DEN
Elsie Rhodes,SW,SW96464,48,F,Hispanic/Latino,SAN
Paula Brewer,DL,DL96898,26,F,Black/African American,MDW
Soraya Workman,DL,DL45567,31,F,Native American/Alaska Native,SAN
Michael Loomis,AA,AA56253,30,M,White,EWR
Rex Tinley,UA,UA72689,82,M,Black/African American,MIA
Carol Keenan,DL,DL69427,55,F,Hispanic/Latino,LAS
Roberto Cary,AA,AA42841,79,M,Black/African American,SLC
Joseph Bowlin,DL,DL49400,42,M,Black/African American,JFK
Jessica Zimmerman,DL,DL35249,36,F,Native Hawaiian/Pacific Islander,BOS
Jack Black,UA,UA28102,43,M,Hispanic/Latino,SFO
Virginia Rodriguez,AA,AA29711,60,F,Black/African American,MCO
Donna Alcaraz,AS,AS42336,55,F,White,LGA
Henry Cook,SW,SW72577,41,M,Black/African American,PHX
Tabitha Jackson,DL,DL27089,58,F,White,MSP
Donald Brown,SW,SW11178,38,M,Native Hawaiian/Pacific Islander,MSP
Stanford Shay,UA,UA24591,59,M,Black/African American,SEA
Paul Lesueur,SW,SW86268,63,M,White,PHL
Darlene Ward,SW,SW14687,47,F,Hispanic/Latino,DFW
Raymond Gourd,DL,DL14699,82,M,Black/African American,SLC
Jean Nave,DL,DL81905,55,F,Asian,PHX
Carlos Newton,SW,SW39290,72,M,White,EWR
Jessica Macinnes,DL,DL90991,26,F,Asian,BNA
Asley Kline,UA,UA12456,61,F,Asian,PHL
Alecia Boxer,UA,UA92086,33,F,Native Hawaiian/Pacific Islander,LAS
Ruby Whittenbeck,AA,AA79307,54,F,Native American/Alaska Native,FLL
Francis Mcdonald,HA,HA38563,48,F,Native American/Alaska Native,SEA
Faye Kramer,DL,DL80558,64,F,Asian,LAS
Krystal Essary,SW,SW89287,70,F,Native American/Alaska Native,LAX
Anne Garcia,SW,SW34950,80,F,Native Hawaiian/Pacific Islander,LAX
Shirley Brown,SW,SW39608,55,F,Asian,FLL
Brian Price,AS,AS57276,56,M,Asian,SLC
Sherrill Laws,AS,AS94519,70,F,Hispanic/Latino,PHX
Pedro King,UA,UA68531,33,M,Black/African American,ATL
Kevin Mann,DL,DL81451,56,M,Native Hawaiian/Pacific Islander,BNA
Richard Loomis,UA,UA15517,53,M,Hispanic/Latino,MIA
Rich Mayo,DL,DL86192,83,M,Asian,LGA
Ray Roberts,AA,AA11940,23,M,Asian,MSP
Traci Hampton,DL,DL82255,83,F,Black/African American,IAD
Rebecca Tigerino,DL,DL43967,30,F,White,SAN
Roy Wilcox,DL,DL95998,63,M,Hispanic/Latino,FLL
Patricia Nero,HA,HA25627,34,F,Black/African American,FLL
Richard Young,SW,SW28005,55,M,Black/African American,BWI
Maria Miller,UA,UA10014,49,F,White,SEA
Matthew Jones,SW,SW56158,35,M,Native American/Alaska Native,DFW
Hester Kahrs,AA,AA71202,50,F,Native Hawaiian/Pacific Islander,SAN
Myron Pittman,DL,DL83643,32,M,Black/African American,IAD
Latoya Gatto,AS,AS78843,81,F,Native American/Alaska Native,IAD
Kristy Bailey,AS,AS52744,77,F,White,SLC
Kelly Barnes,SW,SW40932,65,F,Native American/Alaska Native,MSP
Jessica Agena,SW,SW87845,81,F,Black/African American,LGA
Kent Harman,AA,AA70669,33,M,Asian,SFO
Tony Gilmore,HA,HA47232,55,M,Asian,IAH
Miriam Newton,UA,UA20516,68,F,Black/African American,JFK
Kevin Garcia,UA,UA91852,42,M,Native American/Alaska Native,IAD
Douglas Rader,AS,AS22219,82,M,Asian,MDW
Fred Graham,DL,DL92044,48,M,Native Hawaiian/Pacific Islander,SFO
John Eash,HA,HA38550,78,M,Hispanic/Latino,MSP
Keith Martin,HA,HA27495,70,M,Hispanic/Latino,SEA
Susanne Ross,UA,UA14012,40,F,Hispanic/Latino,LGA
Andrew Smith,UA,UA46073,79,M,Asian,ORD
Leann Holt,AS,AS34159,62,F,White,CLT
Andrea Divine,DL,DL46520,27,F,Black/African American,DEN
David Thomas,UA,UA24773,24,M,Native American/Alaska Native,LAX
Mike Smith,DL,DL96419,73,M,Black/African American,ORD
Teresa Kiser,HA,HA15866,65,F,Native American/Alaska Native,SFO
Eddie Smith,SW,SW43176,82,M,White,PHL
Susan Ervin,UA,UA80078,83,F,Hispanic/Latino,IAH
Elizabeth Montoya,DL,DL66118,65,F,Native American/Alaska Native,SFO
Dora Page,SW,SW44557,30,F,Native Hawaiian/Pacific Islander,DFW
Darnell Smith,AS,AS31478,82,M,Native American/Alaska Native,FLL
Frank Dalporto,SW,SW16970,35,M,Native American/Alaska Native,IAH
Melba Bergstresser,AS,AS71460,70,F,White,LGA
John Barringer,DL,DL54248,65,M,White,TPA
Ruben Burnham,SW,SW65182,52,M,Native American/Alaska Native,DEN
Lauri Hatch,HA,HA76826,82,F,Native American/Alaska Native,BNA
Estelle Guerrero,AA,AA57849,60,F,Hispanic/Latino,SAN
Donna Hardy,UA,UA69106,26,F,Black/African American,MCO
Paula Nguyen,HA,HA47520,77,F,Native American/Alaska Native,DEN
Jack Debarros,HA,HA83778,71,M,Native Hawaiian/Pacific Islander,BOS
Eric Stevenson,UA,UA69453,38,M,Black/African American,CLT
Yvonne Parrish,AA,AA71768,32,F,Native American/Alaska Native,PHL
Shon Monteiro,HA,HA75291,53,M,White,JFK
John Kanish,UA,UA53834,26,M,White,ATL
Kimberly Wilder,UA,UA60294,72,F,Native American/Alaska Native,LAX
Frank Parizo,AS,AS85464,62,M,Native American/Alaska Native,DEN
Lisa Bridges,AS,AS27491,39,F,White,LAS
Raymond Chavez,UA,UA70879,80,M,Asian,SEA
John Gustafson,UA,UA27978,62,M,Hispanic/Latino,IAH
Jennifer Eaton,DL,DL26064,67,F,Hispanic/Latino,BNA
Kelly Vanetta,SW,SW13585,70,F,White,FLL
Kathy Newcombe,AS,AS46786,38,F,Hispanic/Latino,LGA
Amanda Chavez,SW,SW82273,31,F,White,DFW
Maureen Morrical,DL,DL98772,51,F,White,DEN
Frances Ackerman,AA,AA16902,58,F,Native Hawaiian/Pacific Islander,SFO
Kenisha Easley,AS,AS84154,41,F,Native American/Alaska Native,ORD
Mattie Singleton,HA,HA44534,45,F,Asian,ATL
Terry Nguyen,AS,AS82527,55,M,White,BNA
Edith Hogan,HA,HA28868,83,F,Asian,LGA
Earl Sanchez,HA,HA55271,67,M,Asian,TPA
Mathew Bell,HA,HA11343,49,M,Native Hawaiian/Pacific Islander,PHX
Sean Mcclure,UA,UA45672,83,M,Black/African American,FLL
Tiffany Castaneda,AA,AA19988,55,F,Native American/Alaska Native,IAD
Karen Hark,UA,UA76064,82,F,White,PHX
Cassandra Mitchell,HA,HA98453,48,F,Native Hawaiian/Pacific Islander,FLL
Donna Mayberry,AS,AS70406,55,F,White,SFO
Michael Mandel,AA,AA61221,42,M,Hispanic/Latino,MSP
Edmund Barnard,UA,UA90683,84,M,Black/African American,IAD
Virginia Konecny,SW,SW33279,34,F,Native Hawaiian/Pacific Islander,FLL
Dale Fung,UA,UA18832,56,M,Black/African American,IAD
Brandon Mahoney,AA,AA66870,38,M,White,CLT
Brandy Hooks,HA,HA30275,24,F,Native American/Alaska Native,FLL
Maureen Newton,AA,AA44012,55,F,White,DTW
Jonathan Lyell,AA,AA78536,76,M,Native Hawaiian/Pacific Islander,BOS
Christopher Crumpton,AS,AS18006,60,M,Hispanic/Latino,MDW
Glenn Phillips,HA,HA75931,48,M,Native American/Alaska Native,CLT
Ann Pack,DL,DL61607,71,F,Black/African American,MCO
Tammy Smith,UA,UA32070,31,F,Asian,SAN
Paula Salerno,AA,AA80121,84,F,White,ORD
Kyle Williamson,DL,DL45946,40,M,White,SLC
John Prout,AS,AS85739,24,M,Black/African American,MDW
Ted Kenny,HA,HA72513,58,M,Black/African American,PHL
James Flynn,UA,UA40177,32,M,Native American/Alaska Native,SLC
Iva Landfried,SW,SW22883,63,F,Hispanic/Latino,DEN
Jonathan Vashaw,AA,AA54410,80,M,Black/African American,IAD
Karla Slager,AS,AS84827,42,F,Native American/Alaska Native,EWR
Joyce Conner,AS,AS87936,47,F,White,EWR
Troy Castillo,HA,HA17420,41,M,White,MIA
Joyce Perkins,UA,UA76263,61,F,Asian,MSP
Roger Pederson,AA,AA53599,47,M,White,LAX
Joyce Lawrence,HA,HA19700,35,F,White,TPA
Terry Tina,UA,UA90714,43,M,Hispanic/Latino,EWR
Carter Besser,HA,HA48187,79,M,Black/African American,MSP
Scott Crystal,UA,UA98993,70,M,Asian,DEN
Joseph Cruz,UA,UA43044,80,M,Native American/Alaska Native,FLL
Betty Dowden,DL,DL95704,30,F,Native Hawaiian/Pacific Islander,SEA
Sandra Stone,DL,DL55441,64,F,Native American/Alaska Native,DTW
Ann Williams,AA,AA39049,36,F,Hispanic/Latino,LGA
Angel Call,DL,DL97704,74,F,Asian,ATL
Lisa Ainsworth,DL,DL86919,73,F,Asian,JFK
Ralph Gonzalez,HA,HA22943,45,M,Native American/Alaska Native,DTW
Rebecca Harmon,SW,SW92842,51,F,White,TPA
John Gonzalez,SW,SW17427,72,M,White,MIA
Johnny Barto,HA,HA38341,62,M,Asian,BWI
John Mozie,UA,UA23290,61,M,Hispanic/Latino,BNA
Dane Parsons,UA,UA40356,25,M,Black/African American,MCO
Ervin Bland,AA,AA74427,81,M,Asian,MSP
Rudy Hurst,AS,AS24711,69,M,Native American/Alaska Native,EWR
Leigha Golden,HA,HA73511,22,F,White,BOS
Ian Gonzalez,AS,AS27767,44,M,Native American/Alaska Native,MIA
Julio Lawson,HA,HA30715,72,M,Native Hawaiian/Pacific Islander,LGA
Marjorie Buchanan,SW,SW68612,61,F,Black/African American,DTW
Danny Wilde,DL,DL53476,52,M,White,PHX
Dean Cairns,SW,SW78362,28,M,Asian,ORD
Juan Berry,AA,AA77011,44,M,White,CLT
Russell Contreras,AS,AS74956,50,M,Hispanic/Latino,BOS
Richard Mciver,SW,SW23913,55,M,Hispanic/Latino,FLL
Ramona Odum,DL,DL98030,47,F,Black/African American,BNA
Robert Ulloa,DL,DL60728,37,M,Black/African American,BWI
Eugene Dragon,SW,SW72725,52,M,Black/African American,EWR
Brett Mock,SW,SW32581,52,M,Native Hawaiian/Pacific Islander,SLC
Joyce Jones,AA,AA85633,58,F,Native American/Alaska Native,IAH
Tamika Reed,AS,AS61360,65,F,Black/African American,TPA
Greg Page,DL,DL32726,50,M,Native American/Alaska Native,IAD
Dorothy Wooldridge,AA,AA43194,28,F,Black/African American,SLC
Deadra Davis,DL,DL21292,28,F,Native Hawaiian/Pacific Islander,LAX
Juan Brodeur,AA,AA11393,63,M,Asian,DEN
Stephanie Sample,AA,AA44658,70,F,Black/African American,SEA
Donald Guptill,AA,AA13219,30,M,Native American/Alaska Native,PHX
Donald Gray,AA,AA34303,78,M,Black/African American,TPA
John Rowley,DL,DL16690,79,M,Native Hawaiian/Pacific Islander,DFW
Mitchell Santiago,DL,DL12124,45,M,Hispanic/Latino,LAX
Judy Smith,DL,DL35659,24,F,Native Hawaiian/Pacific Islander,BNA
Elsie Pruitt,UA,UA58168,60,F,Native Hawaiian/Pacific Islander,IAH
Alexis Calhoun,HA,HA26230,59,M,Native Hawaiian/Pacific Islander,DEN
Norman Blocker,SW,SW88900,67,M,Native American/Alaska Native,IAD
Gerald Harvey,HA,HA46137,59,M,Native American/Alaska Native,IAD
Russell Hale,AS,AS80607,33,M,Hispanic/Latino,LAS
Robert Batts,UA,UA72952,23,M,Native Hawaiian/Pacific Islander,LGA
Margaret Fox,SW,SW68295,50,F,White,DEN
Jacqueline Zuniga,UA,UA23301,70,F,Asian,LGA
Calvin Norris,HA,HA95542,65,M,Native Hawaiian/Pacific Islander,MIA
Carol Vargas,AA,AA38451,61,F,White,JFK
Martha Wilson,DL,DL93592,68,F,Native American/Alaska Native,SEA
Angela Keels,AA,AA87739,27,F,Native Hawaiian/Pacific Islander,DTW
Leigh Geissler,UA,UA88290,63,F,White,SLC
Benny Pero,AS,AS25516,63,M,Hispanic/Latino,LAX
Carroll Wentzel,UA,UA25726,53,M,Black/African American,MSP
Darlene Best,AA,AA13404,75,F,Asian,DTW
Van Duran,SW,SW46508,56,M,White,ORD
Beatrice Hernandez,AA,AA27784,77,F,Native American/Alaska Native,MCO
Jeanne Barnfield,SW,SW41274,44,F,Native American/Alaska Native,BNA
Jamar House,AA,AA32891,47,M,Asian,SEA
Steven Kennedy,SW,SW76935,81,M,Asian,LAX
Tasha Ramirez,AS,AS55828,46,F,Native Hawaiian/Pacific Islander,PHX
Lenny Lederman,SW,SW83809,43,M,Native Hawaiian/Pacific Islander,IAH
Mark Moore,AS,AS75428,44,M,Native American/Alaska Native,LAX
Arturo Ontiveros,AA,AA57723,41,M,Native American/Alaska Native,EWR
Morris Marshall,AA,AA33840,55,M,Black/African American,SFO
Frank Dove,HA,HA40108,54,M,Native American/Alaska Native,LAS
Trinidad Fernandez,AA,AA31287,28,M,Black/African American,IAH
Sally Ramos,AA,AA51183,30,F,Native Hawaiian/Pacific Islander,BWI
Josue Swinney,AA,AA31731,48,M,White,EWR
William Franke,AA,AA36094,51,M,Hispanic/Latino,MCO
Peter Yeend,HA,HA46478,70,M,Black/African American,ORD
Erik Muse,DL,DL45109,67,M,Asian,MSP
Robert Johnson,UA,UA75506,58,M,Black/African American,MCO
Sharon Weatherly,SW,SW43497,84,F,Native American/Alaska Native,EWR
Fredia Hadiaris,HA,HA68421,74,F,Black/African American,SFO
Betty Brouillette,AS,AS94695,70,F,Native American/Alaska Native,MDW
James Torres,SW,SW64587,58,M,Native Hawaiian/Pacific Islander,TPA
Roger Johnson,UA,UA46969,33,M,Native American/Alaska Native,IAD
Rose Morton,AS,AS10149,35,F,Native Hawaiian/Pacific Islander,DTW
Rhiannon Aller,SW,SW43710,47,F,Hispanic/Latino,TPA
Vickie Plummer,DL,DL45440,67,F,Native American/Alaska Native,DEN
Amy Manko,UA,UA93036,50,F,Asian,MSP
William Woodward,SW,SW75979,44,M,Asian,DTW
Jeremiah Juarez,SW,SW42876,60,M,Native Hawaiian/Pacific Islander,LAS
James Edwards,AS,AS98658,52,M,White,SFO
Joseph Piercy,DL,DL40994,69,M,Native American/Alaska Native,SAN
Glenn Williams,DL,DL92707,69,M,Native American/Alaska Native,DFW
Jonathan Mckown,HA,HA24518,60,M,Native Hawaiian/Pacific Islander,ATL
Tammy Hester,UA,UA27479,53,F,White,MDW
Brenda Baldwin,HA,HA35555,78,F,Black/African American,PHL
Helen Baker,UA,UA86822,24,F,Asian,SEA
Scott Romig,DL,DL22785,79,M,Native American/Alaska Native,BWI
Amy Bowen,DL,DL62941,38,F,Black/African American,MIA
Dawn Harmon,DL,DL78541,22,F,Hispanic/Latino,DTW
James Coughlin,HA,HA46075,46,M,Hispanic/Latino,LAX
Victor Doucet,AA,AA30839,79,M,Native Hawaiian/Pacific Islander,MSP
Danielle Kloc,UA,UA27234,29,F,White,LAX
Ethel Armitage,SW,SW85254,49,F,White,MIA
Jimmy Moy,DL,DL68780,58,M,Black/African American,SFO
Hettie Bishop,AA,AA43839,81,F,Native Hawaiian/Pacific Islander,CLT
Jeffrey Mcintosh,AS,AS46598,43,M,Native American/Alaska Native,TPA
Judith Riebel,DL,DL61773,48,F,Native American/Alaska Native,SEA
Julie White,AS,AS85326,47,F,Hispanic/Latino,DEN
Joseph Whitted,AA,AA33001,45,M,Black/African American,IAH
Frank Norman,DL,DL30686,44,M,Native Hawaiian/Pacific Islander,LAS
Michael Burns,AS,AS93331,43,M,White,DTW
Warren Ralph,AS,AS13714,32,M,White,BNA
Debbie Simpson,UA,UA49080,31,F,Native Hawaiian/Pacific Islander,SFO
Debbie Anderson,HA,HA40005,71,F,White,SAN
Dirk Hendricks,DL,DL87792,53,M,Native American/Alaska Native,FLL
Edward King,UA,UA75298,56,M,Native American/Alaska Native,LGA
Daisy Wood,DL,DL75541,53,F,Black/African American,SFO
Diana Wilkerson,HA,HA95157,25,F,Hispanic/Latino,LAS
Samuel Jones,DL,DL12711,43,M,White,MIA
Hazel Robey,AS,AS49184,48,F,Hispanic/Latino,CLT
Lois Capello,HA,HA34693,80,F,Hispanic/Latino,DFW
Brian Barreto,UA,UA38875,71,M,White,EWR
Gloria Ross,AS,AS14403,74,F,Native Hawaiian/Pacific Islander,BNA
Alvin Palmer,AS,AS70131,64,M,Native Hawaiian/Pacific Islander,JFK
Xiomara Law,DL,DL62073,57,F,Native Hawaiian/Pacific Islander,JFK
Heather Windham,AS,AS68058,72,F,Asian,SLC
James Greeley,SW,SW69180,64,M,White,CLT
Jennie Wilson,AA,AA77113,22,F,Native Hawaiian/Pacific Islander,ATL
Donna Hampton,DL,DL45969,32,F,Hispanic/Latino,MIA
Kandi Colpitts,UA,UA81336,61,F,White,MDW
Annette Hoyt,AA,AA23708,77,F,Native Hawaiian/Pacific Islander,DEN
Mary Mulloy,AS,AS18206,63,F,White,DTW
Ethel Hall,AA,AA34750,37,F,Black/African American,TPA
Ian Lyles,HA,HA31546,40,M,Native American/Alaska Native,BOS
George Reyes,UA,UA36856,49,M,Hispanic/Latino,LAX
Ellis Hodge,UA,UA48478,22,M,Hispanic/Latino,PHL
Barry Reisman,UA,UA14891,77,M,Hispanic/Latino,SEA
Bradley Osborne,DL,DL44732,53,M,White,SFO
Eva Baker,AA,AA22725,53,F,Asian,MCO
Melinda Frasier,AA,AA68965,64,F,Asian,SEA
Charles Beers,AA,AA20705,54,M,Native American/Alaska Native,MIA
Richie Jenkins,UA,UA32420,48,M,White,DEN
Edward White,AA,AA34815,59,M,Black/African American,ORD
Danette Hanson,SW,SW27512,71,F,Native American/Alaska Native,SAN
